"Frequency","Power"
2.97538e+09,-106.935
2.97538e+09,-106.576
2.97538e+09,-106.264
2.97538e+09,-106.257
2.97538e+09,-106.19
2.97538e+09,-106.142
2.97539e+09,-106.243
2.97539e+09,-106.363
2.97539e+09,-106.661
2.97539e+09,-106.995
2.97539e+09,-107.239
2.97539e+09,-107.208
2.97539e+09,-107.008
2.9754e+09,-106.911
2.9754e+09,-107.037
2.9754e+09,-107.487
2.9754e+09,-107.304
2.9754e+09,-106.651
2.9754e+09,-106.069
2.97541e+09,-105.975
2.97541e+09,-106.454
2.97541e+09,-106.736
2.97541e+09,-106.707
2.97541e+09,-106.656
2.97541e+09,-106.296
2.97541e+09,-106.079
2.97542e+09,-106.318
2.97542e+09,-106.645
2.97542e+09,-107.14
2.97542e+09,-107.502
2.97542e+09,-107.105
2.97542e+09,-106.543
2.97543e+09,-106.115
2.97543e+09,-106.131
2.97543e+09,-106.352
2.97543e+09,-106.673
2.97543e+09,-106.985
2.97543e+09,-107.04
2.97543e+09,-107.022
2.97544e+09,-107.093
2.97544e+09,-106.915
2.97544e+09,-106.641
2.97544e+09,-106.412
2.97544e+09,-106.378
2.97544e+09,-106.529
2.97545e+09,-106.66
2.97545e+09,-106.789
2.97545e+09,-107.047
2.97545e+09,-107.366
2.97545e+09,-107.597
2.97545e+09,-107.506
2.97545e+09,-107.609
2.97546e+09,-107.877
2.97546e+09,-107.825
2.97546e+09,-107.647
2.97546e+09,-107.616
2.97546e+09,-107.575
2.97546e+09,-107.298
2.97547e+09,-106.673
2.97547e+09,-106.325
2.97547e+09,-106.332
2.97547e+09,-106.602
2.97547e+09,-106.988
2.97547e+09,-107.284
2.97547e+09,-107.091
2.97548e+09,-107.015
2.97548e+09,-106.921
2.97548e+09,-106.752
2.97548e+09,-106.448
2.97548e+09,-106.33
2.97548e+09,-106.269
2.97549e+09,-106.442
2.97549e+09,-106.939
2.97549e+09,-107.242
2.97549e+09,-107.37
2.97549e+09,-107.366
2.97549e+09,-107.161
2.97549e+09,-106.934
2.9755e+09,-106.795
2.9755e+09,-106.525
2.9755e+09,-106.211
2.9755e+09,-106.23
2.9755e+09,-106.382
2.9755e+09,-106.592
2.97551e+09,-106.876
2.97551e+09,-107.377
2.97551e+09,-108.211
2.97551e+09,-108.075
2.97551e+09,-107.482
2.97551e+09,-106.907
2.97551e+09,-106.746
2.97552e+09,-106.72
2.97552e+09,-106.766
2.97552e+09,-106.544
2.97552e+09,-106.305
2.97552e+09,-106.589
2.97552e+09,-106.897
2.97553e+09,-107.116
2.97553e+09,-107.238
2.97553e+09,-107.748
2.97553e+09,-107.834
2.97553e+09,-106.969
2.97553e+09,-106.254
2.97553e+09,-106.129
2.97554e+09,-106.376
2.97554e+09,-106.822
2.97554e+09,-107.177
2.97554e+09,-107.395
2.97554e+09,-107.392
2.97554e+09,-106.903
2.97555e+09,-106.598
2.97555e+09,-106.796
2.97555e+09,-107.168
2.97555e+09,-107.117
2.97555e+09,-107.096
2.97555e+09,-106.96
2.97555e+09,-106.824
2.97556e+09,-106.897
2.97556e+09,-106.727
2.97556e+09,-106.517
2.97556e+09,-106.298
2.97556e+09,-106.407
2.97556e+09,-106.635
2.97557e+09,-106.592
2.97557e+09,-106.465
2.97557e+09,-106.481
2.97557e+09,-106.617
2.97557e+09,-106.915
2.97557e+09,-106.954
