"Frequency","Power"
2.97538e+09,-107.38
2.97538e+09,-107.126
2.97538e+09,-107.196
2.97538e+09,-107.141
2.97538e+09,-106.868
2.97538e+09,-106.586
2.97539e+09,-106.618
2.97539e+09,-106.557
2.97539e+09,-106.622
2.97539e+09,-106.841
2.97539e+09,-107.002
2.97539e+09,-107.055
2.97539e+09,-106.669
2.9754e+09,-106.277
2.9754e+09,-106.171
2.9754e+09,-106.417
2.9754e+09,-106.531
2.9754e+09,-106.422
2.9754e+09,-105.906
2.97541e+09,-105.42
2.97541e+09,-105.455
2.97541e+09,-105.759
2.97541e+09,-106.207
2.97541e+09,-106.605
2.97541e+09,-106.725
2.97541e+09,-106.905
2.97542e+09,-107.215
2.97542e+09,-107.323
2.97542e+09,-107.197
2.97542e+09,-106.82
2.97542e+09,-106.743
2.97542e+09,-106.801
2.97543e+09,-106.694
2.97543e+09,-106.584
2.97543e+09,-106.538
2.97543e+09,-106.544
2.97543e+09,-106.549
2.97543e+09,-106.453
2.97543e+09,-106.487
2.97544e+09,-106.795
2.97544e+09,-107.086
2.97544e+09,-107.197
2.97544e+09,-107.229
2.97544e+09,-106.902
2.97544e+09,-106.415
2.97545e+09,-105.94
2.97545e+09,-105.79
2.97545e+09,-105.987
2.97545e+09,-106.095
2.97545e+09,-106.154
2.97545e+09,-106.407
2.97545e+09,-106.895
2.97546e+09,-107.058
2.97546e+09,-106.532
2.97546e+09,-105.898
2.97546e+09,-105.621
2.97546e+09,-105.797
2.97546e+09,-106.185
2.97547e+09,-106.478
2.97547e+09,-106.402
2.97547e+09,-106.328
2.97547e+09,-106.749
2.97547e+09,-107.128
2.97547e+09,-107.042
2.97547e+09,-106.979
2.97548e+09,-106.76
2.97548e+09,-106.688
2.97548e+09,-107.034
2.97548e+09,-107.192
2.97548e+09,-107.15
2.97548e+09,-107.161
2.97549e+09,-106.989
2.97549e+09,-106.776
2.97549e+09,-106.722
2.97549e+09,-106.914
2.97549e+09,-107.276
2.97549e+09,-107.536
2.97549e+09,-107.759
2.9755e+09,-107.752
2.9755e+09,-107.501
2.9755e+09,-107.338
2.9755e+09,-107.364
2.9755e+09,-107.352
2.9755e+09,-107.332
2.97551e+09,-107.377
2.97551e+09,-107.107
2.97551e+09,-106.653
2.97551e+09,-106.63
2.97551e+09,-107.168
2.97551e+09,-107.746
2.97551e+09,-107.521
2.97552e+09,-106.773
2.97552e+09,-106.634
2.97552e+09,-107.085
2.97552e+09,-107.489
2.97552e+09,-107.761
2.97552e+09,-107.524
2.97553e+09,-107.184
2.97553e+09,-107.38
2.97553e+09,-107.552
2.97553e+09,-107.112
2.97553e+09,-106.663
2.97553e+09,-106.863
2.97553e+09,-107.284
2.97554e+09,-107.346
2.97554e+09,-107.287
2.97554e+09,-107.003
2.97554e+09,-106.787
2.97554e+09,-106.754
2.97554e+09,-106.727
2.97555e+09,-106.967
2.97555e+09,-107.472
2.97555e+09,-107.667
2.97555e+09,-107.16
2.97555e+09,-106.479
2.97555e+09,-106.178
2.97555e+09,-106.496
2.97556e+09,-106.908
2.97556e+09,-107.389
2.97556e+09,-107.98
2.97556e+09,-107.938
2.97556e+09,-107.686
2.97556e+09,-107.256
2.97557e+09,-107.051
2.97557e+09,-107.357
2.97557e+09,-107.72
2.97557e+09,-107.596
2.97557e+09,-107.057
2.97557e+09,-106.502
2.97557e+09,-106.308
2.97558e+09,-106.484
2.97558e+09,-106.741
2.97558e+09,-107.084
2.97558e+09,-107.078
2.97558e+09,-106.813
2.97558e+09,-106.725
2.97559e+09,-106.775
2.97559e+09,-106.902
2.97559e+09,-107.145
2.97559e+09,-107.237
2.97559e+09,-106.988
2.97559e+09,-106.553
2.97559e+09,-105.975
2.9756e+09,-106.003
2.9756e+09,-106.305
2.9756e+09,-106.53
2.9756e+09,-106.768
2.9756e+09,-106.84
2.9756e+09,-107.033
2.97561e+09,-107.27
2.97561e+09,-107.422
2.97561e+09,-107.452
2.97561e+09,-107.429
2.97561e+09,-107.688
2.97561e+09,-107.781
2.97561e+09,-107.544
2.97562e+09,-107.428
2.97562e+09,-107.455
2.97562e+09,-107.131
2.97562e+09,-106.528
2.97562e+09,-106.277
2.97562e+09,-106.166
2.97563e+09,-106.262
2.97563e+09,-106.722
2.97563e+09,-107.131
2.97563e+09,-107.188
2.97563e+09,-107.12
2.97563e+09,-106.943
2.97563e+09,-107.108
2.97564e+09,-107.48
2.97564e+09,-107.401
2.97564e+09,-107.146
2.97564e+09,-106.8
2.97564e+09,-106.382
2.97564e+09,-106.055
2.97565e+09,-106.013
2.97565e+09,-106.154
2.97565e+09,-106.304
2.97565e+09,-106.752
2.97565e+09,-107.214
2.97565e+09,-107.286
2.97565e+09,-107.044
2.97566e+09,-106.739
2.97566e+09,-106.451
2.97566e+09,-105.907
2.97566e+09,-105.927
2.97566e+09,-106.248
2.97566e+09,-106.498
2.97567e+09,-106.822
2.97567e+09,-106.733
2.97567e+09,-106.549
2.97567e+09,-106.731
2.97567e+09,-106.959
2.97567e+09,-107.126
2.97567e+09,-107.19
2.97568e+09,-107.041
2.97568e+09,-106.763
2.97568e+09,-106.521
2.97568e+09,-106.249
2.97568e+09,-106.229
2.97568e+09,-106.599
2.97569e+09,-107.196
2.97569e+09,-107.578
2.97569e+09,-107.641
2.97569e+09,-107.439
2.97569e+09,-107.216
2.97569e+09,-107.203
2.97569e+09,-107.251
2.9757e+09,-107.329
2.9757e+09,-107.296
2.9757e+09,-107.002
2.9757e+09,-106.611
2.9757e+09,-106.783
2.9757e+09,-107.117
2.97571e+09,-106.818
2.97571e+09,-106.461
2.97571e+09,-106.378
2.97571e+09,-106.63
2.97571e+09,-106.861
2.97571e+09,-107.238
2.97571e+09,-107.467
2.97572e+09,-107.086
2.97572e+09,-106.605
2.97572e+09,-106.301
2.97572e+09,-106.38
2.97572e+09,-106.798
2.97572e+09,-107.085
2.97573e+09,-107.092
2.97573e+09,-106.774
2.97573e+09,-106.541
2.97573e+09,-106.477
2.97573e+09,-106.529
2.97573e+09,-106.685
2.97573e+09,-106.805
2.97574e+09,-106.906
2.97574e+09,-107.083
2.97574e+09,-107.041
2.97574e+09,-106.94
2.97574e+09,-106.606
2.97574e+09,-106.329
2.97575e+09,-106.378
2.97575e+09,-106.419
2.97575e+09,-106.834
2.97575e+09,-107.349
2.97575e+09,-107.319
2.97575e+09,-106.995
2.97575e+09,-106.574
2.97576e+09,-106.046
2.97576e+09,-105.825
2.97576e+09,-105.99
2.97576e+09,-106.169
2.97576e+09,-106.235
2.97576e+09,-106.097
2.97576e+09,-106.08
2.97577e+09,-106.316
2.97577e+09,-106.719
2.97577e+09,-107.17
2.97577e+09,-107.616
2.97577e+09,-107.629
2.97577e+09,-107.164
2.97578e+09,-106.524
2.97578e+09,-106.116
2.97578e+09,-106.327
2.97578e+09,-106.838
2.97578e+09,-107.079
2.97578e+09,-107.186
2.97578e+09,-107.137
2.97579e+09,-107.262
2.97579e+09,-107.24
2.97579e+09,-107.197
2.97579e+09,-107.182
2.97579e+09,-107.138
2.97579e+09,-107.434
2.9758e+09,-107.899
2.9758e+09,-107.923
2.9758e+09,-107.839
2.9758e+09,-107.851
2.9758e+09,-107.957
2.9758e+09,-108.148
2.9758e+09,-107.865
2.97581e+09,-107.551
2.97581e+09,-107.464
2.97581e+09,-107.7
2.97581e+09,-107.93
2.97581e+09,-107.82
2.97581e+09,-107.376
2.97582e+09,-106.634
2.97582e+09,-105.913
2.97582e+09,-105.46
2.97582e+09,-105.454
2.97582e+09,-105.985
2.97582e+09,-106.722
2.97582e+09,-107.481
2.97583e+09,-107.752
2.97583e+09,-107.619
2.97583e+09,-107.544
2.97583e+09,-107.359
2.97583e+09,-106.922
2.97583e+09,-106.71
2.97584e+09,-106.863
2.97584e+09,-107.154
2.97584e+09,-107.497
