"Frequency","Power"
2.975e+09,-111.066
2.975e+09,-111.007
2.975e+09,-111.381
2.975e+09,-111.638
2.97501e+09,-111.652
2.97501e+09,-111.673
2.97501e+09,-111.841
2.97501e+09,-111.674
2.97501e+09,-111.447
2.97501e+09,-111.22
2.97502e+09,-111.533
2.97502e+09,-111.735
2.97502e+09,-111.777
2.97502e+09,-111.673
2.97502e+09,-111.574
2.97502e+09,-111.737
2.97502e+09,-111.508
2.97503e+09,-111.629
2.97503e+09,-111.402
2.97503e+09,-111.549
2.97503e+09,-111.877
2.97503e+09,-111.744
2.97503e+09,-111.678
2.97504e+09,-111.509
2.97504e+09,-111.311
2.97504e+09,-111.15
2.97504e+09,-111.22
2.97504e+09,-111.416
2.97504e+09,-111.448
2.97504e+09,-111.247
2.97505e+09,-111.664
2.97505e+09,-111.665
2.97505e+09,-111.328
2.97505e+09,-111.607
2.97505e+09,-111.288
2.97505e+09,-111.204
2.97506e+09,-111.562
2.97506e+09,-111.855
2.97506e+09,-111.638
2.97506e+09,-111.294
2.97506e+09,-111.552
2.97506e+09,-111.662
2.97506e+09,-111.454
2.97507e+09,-111.358
2.97507e+09,-111.359
2.97507e+09,-111.354
2.97507e+09,-111.585
2.97507e+09,-111.606
2.97507e+09,-111.589
2.97508e+09,-111.53
2.97508e+09,-111.48
2.97508e+09,-111.429
2.97508e+09,-111.36
2.97508e+09,-111.231
2.97508e+09,-111.125
2.97508e+09,-111.034
2.97509e+09,-111.207
2.97509e+09,-111.267
2.97509e+09,-111.494
2.97509e+09,-111.499
2.97509e+09,-111.14
2.97509e+09,-111.239
2.9751e+09,-111.425
2.9751e+09,-111.482
2.9751e+09,-111.49
2.9751e+09,-111.606
2.9751e+09,-111.526
2.9751e+09,-111.438
2.9751e+09,-111.606
2.97511e+09,-111.633
2.97511e+09,-111.504
2.97511e+09,-111.617
2.97511e+09,-111.42
2.97511e+09,-111.443
2.97511e+09,-111.453
2.97512e+09,-111.178
2.97512e+09,-110.965
2.97512e+09,-111.46
2.97512e+09,-111.587
2.97512e+09,-111.428
2.97512e+09,-111.584
2.97512e+09,-111.829
2.97513e+09,-111.883
2.97513e+09,-111.296
2.97513e+09,-111.3
2.97513e+09,-111.411
2.97513e+09,-111.334
2.97513e+09,-111.658
2.97514e+09,-111.693
2.97514e+09,-111.452
2.97514e+09,-111.473
2.97514e+09,-111.316
2.97514e+09,-111.533
2.97514e+09,-111.553
2.97514e+09,-111.496
2.97515e+09,-111.612
2.97515e+09,-111.6
2.97515e+09,-111.646
2.97515e+09,-111.857
2.97515e+09,-111.691
2.97515e+09,-111.553
2.97516e+09,-111.852
2.97516e+09,-111.471
2.97516e+09,-111.294
2.97516e+09,-111.705
2.97516e+09,-111.962
2.97516e+09,-111.849
2.97516e+09,-111.53
2.97517e+09,-111.624
2.97517e+09,-111.645
2.97517e+09,-111.775
2.97517e+09,-111.52
2.97517e+09,-111.49
